id,name,type,resolution,sunLight,leftForbiden,rightForbiden,TLE1,TLE2,maxImaging,RecordPlatRate,storage,energy,transitionGround
67,OPT67,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  33.1691 230.6837 0707312 119.7735 161.7728 13.0783189500000,300,3.5,5000,3500,40
68,OPT68,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  19.0652 290.5337 0671378 154.9698 199.1840 13.2970810100000,300,4,4700,3600,35
69,OPT69,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  21.2422 236.2418 0550193 237.5565 176.8647 13.5249002000000,300,3,4800,3700,45
70,OPT70,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544   0.2332  32.6100 0289486 298.1651 317.5411 13.3091209700000,300,3.5,4000,3400,35
71,OPT71,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  55.1248 325.1906 0323759  81.1576 274.0866 13.5069061200000,300,4,4500,3300,30
72,OPT72,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  44.8995  55.0895 0432844 352.2556 265.6175 13.5979618600000,300,3,5000,3000,40
73,OPT73,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  23.2464 237.2116 0195276  54.4124 189.9145 13.8624811000000,300,3.5,4700,3500,30
74,OPT74,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  36.6439 140.8879 0071536   5.4029 244.6121 13.2448332000000,300,4,4800,3600,40
75,OPT75,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  40.5957  73.6702 0156065  11.6105 257.4176 13.3305622200000,300,3,4000,3700,35
76,OPT76,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  20.8907  21.8633 0265870 132.7412 287.7131 13.7662157300000,300,3.5,4500,3400,45
77,OPT77,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  36.3655 252.3188 0041078 354.1322 202.3500 13.8762943800000,300,4,5000,3300,35
78,OPT78,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  22.9421  55.6307 0912060 145.0371 257.4663 13.0094540200000,300,3,4700,3000,30
79,OPT79,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  33.1256 342.8626 0300238 133.3002 307.6859 13.5574108000000,300,3.5,4800,3500,40
80,OPT80,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544   2.5528 161.7245 0612892 197.9304 226.6191 13.7683351600000,300,4,4000,3600,30
81,OPT81,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  34.6192 283.1918 0096507 112.9279 207.3714 13.8510638100000,300,3,4500,3700,40
82,OPT82,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  18.2746 322.0818 0235125 328.1128 161.2659 13.2393046000000,300,3.5,5000,3400,35
83,OPT83,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  37.0792  72.8775 0927553 142.3046  38.0363 13.5657493100000,300,4,4700,3300,45
84,OPT84,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544   4.5016 336.7808 0868638 174.4297   8.5220 13.1812571700000,300,3,4800,3000,35
85,OPT85,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544   6.9139 210.5702 0012831 219.9644 297.5702 13.7042547100000,300,3.5,4000,3500,30
86,OPT86,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  56.9647 295.1640 0651585  96.2048  33.0160 13.8532390600000,300,4,4500,3600,40
87,OPT87,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  48.8764 330.1554 0668632  91.6549  48.7953 13.6860073900000,300,3,5000,3700,30
88,OPT88,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  20.9001 218.6574 0964885  17.2102 118.3853 13.6319315500000,300,3.5,4700,3400,40
89,OPT89,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  55.9790 107.9844 0214655 144.8280 224.4951 13.4860138200000,300,4,4800,3300,35
90,OPT90,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  21.8819 150.3889 0161476 121.6128 209.6770 13.0974768600000,300,3,4000,3000,45
91,OPT91,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  39.5517 209.2981 0641395 334.7615 310.3030 13.4826977000000,300,3.5,4500,3500,35
92,OPT92,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  22.8831  42.0626 0925526 126.2555 189.8137 13.0691258400000,300,4,5000,3600,30
93,OPT93,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  46.6832  16.2907 0888824  40.3563 214.3564 13.6615353000000,300,3,4700,3700,40
94,OPT94,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  25.3862 142.4468 0128210 110.9587 195.4264 13.3127625400000,300,3.5,4800,3400,30
95,OPT95,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  19.5469 292.3075 0819617 282.7812  96.2694 13.9091234100000,300,4,4000,3300,40
96,OPT96,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  38.1848 325.7427 0290741 198.8591 262.7850 13.3632434300000,300,3,4500,3000,35
97,OPT97,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  31.9166 183.8266 0140094 152.9828 300.1409 13.8452499000000,300,3.5,5000,3500,45
98,OPT98,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544   7.5676 260.5401 0722255 249.2302 230.2570 13.1693100500000,300,4,4700,3600,35
99,OPT99,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544   3.1000  42.8199 0438946 215.1722  14.2292 13.9832072100000,300,3,4800,3700,30
100,OPT100,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  28.8133 247.4634 0559620 299.4927 352.6680 13.7384582500000,300,3.5,4000,3400,40
101,OPT101,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  13.2110 286.4998 0863601 257.7965 340.6147 13.5837560400000,300,4,4500,3300,30
102,OPT102,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  30.5958 339.7692 0097095 202.8637 304.3176 13.9391006200000,300,3,5000,3000,40
103,OPT103,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  20.6501 343.2960 0806764 196.6939 171.1051 13.3759558400000,300,3.5,4700,3500,35
104,OPT104,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  21.2153 332.6277 0819967 272.9998   8.9770 13.9103744100000,300,4,4800,3600,45
105,OPT105,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  37.0122 253.5415 0589533  79.3970 349.4886 13.4061024700000,300,3,4000,3700,35
106,OPT106,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  43.2108 186.8459 0798577 278.9177 261.1284 13.6318043200000,300,3.5,4500,3400,30
107,OPT107,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  41.4594 349.7883 0338945 173.9611 194.8905 13.5713979500000,300,4,5000,3300,40
108,OPT108,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  56.3241  54.9042 0753567 297.2324 314.0558 13.7902401700000,300,3,4700,3000,30
109,OPT109,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  52.3530 335.3406 0336505 219.4622  33.1045 13.8285239900000,300,3.5,4800,3500,40
110,OPT110,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  52.2983 304.5710 0032870 351.9885 295.1390 13.3669511400000,300,4,4000,3600,35
111,OPT111,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  33.5860  50.2049 0581290 271.7854 246.0569 13.4083683900000,300,3,4500,3700,45
112,OPT112,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544   0.4455 306.5418 0887796 241.3369 269.7739 13.2165220900000,300,3.5,5000,3400,35
113,OPT113,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  11.2563 225.8656 0885033   5.6092 181.3322 13.3763140000000,300,4,4700,3300,30
114,OPT114,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  33.3011 171.4176 0676767  73.6497 293.6664 13.3496206100000,300,3,4800,3000,40
115,OPT115,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  58.3781  61.9390 0995714 112.1366  11.0717 13.6935024000000,300,3.5,4000,3500,30
116,OPT116,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  38.4712  55.1747 0560930 214.4827 114.5683 13.6205470900000,300,4,4500,3600,40
117,OPT117,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  56.3941 245.3702 0126179 357.4729 269.4037 13.0586276700000,300,3,5000,3700,35
118,OPT118,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  38.3807  76.4526 0091407 171.9510 247.0296 13.4229331300000,300,3.5,4700,3400,45
119,OPT119,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544   2.4181 268.6578 0317106 190.4504 189.2824 13.2081140500000,300,4,4800,3300,35
120,OPT120,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  58.8899  65.7411 0845678  57.1301 255.7531 13.2077125800000,300,3,4000,3000,30
121,OPT121,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  43.4933  89.0145 0474773 286.5272 292.5937 13.6612840100000,300,3.5,4500,3500,40
122,OPT122,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  10.0405 285.9129 0361543 108.3401 175.9942 13.7697838700000,300,4,5000,3600,30
123,OPT123,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  15.5950  97.3732 0137043   7.0457  87.5999 13.4518298200000,300,3,4700,3700,40
124,OPT124,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544   7.6820  22.2848 0245264 160.4167  89.8860 13.0015071900000,300,3.5,4800,3400,35
125,OPT125,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  15.8710 168.0357 0916901 309.8412 166.7409 13.4359788500000,300,4,4000,3300,45
126,OPT126,光学,1,10,45,-45,1 25544U 98067A   24048.91666667 +.90014343 +00000-0 +00000-0 0 9993,2 25544  15.2006  24.7308 0724992 101.9054 304.7129 13.4528796300000,300,3,4500,3000,35
